qa_id,metric,level,answer_type,dataset_answer,manual_answer,verdict,disagreement_type,rationale,hosts_inspected
L2VPN_PAIRS,l2vpn_pairs,L2,set,[],[],AGREE,,[Method1-crossref] l2vpn_pairs({'type': 'GLOBAL'}) = [],"leaf1, leaf2, leaf3, leaf4, p1, p2, p3, p4, pe1, pe2"
OSPF_AREA0_IF_COUNT_leaf3,ospf_area0_if_count,L2,number,0,0,AGREE,,OSPF area 0 network statements in leaf3.cfg: 0,leaf3
OSPF_AREA_MEMBERSHIP_0,ospf_area_membership,L2,set,"[""p1"", ""p2"", ""p3"", ""p4"", ""pe1"", ""pe2""]","[""p1"", ""p2"", ""p3"", ""p4"", ""pe1"", ""pe2""]",AGREE,,"Devices in OSPF area 0: ['p1', 'p2', 'p3', 'p4', 'pe1', 'pe2']","leaf1, leaf2, leaf3, leaf4, p1, p2, p3, p4, pe1, pe2"
OSPF_NEIGHBOR_COUNT_PER_AREA_0,ospf_neighbor_count_per_area,L2,number,0,0,AGREE,,"OSPF neighbor count for area 0: static config has no runtime adjacency data | [Method1-crossref] ospf_neighbor_count_per_area({'type': 'OSPF_AREA', 'area': '0'}) = 0","leaf1, leaf2, leaf3, leaf4, p1, p2, p3, p4, pe1, pe2"
SSH_ENABLED_DEVICES,ssh_enabled_devices,L2,set,"[""leaf1"", ""leaf2"", ""leaf3"", ""leaf4"", ""p1"", ""p2"", ""p3"", ""p4"", ""pe1"", ""pe2""]","[""leaf1"", ""leaf2"", ""leaf3"", ""leaf4"", ""p1"", ""p2"", ""p3"", ""p4"", ""pe1"", ""pe2""]",AGREE,,"SSH enabled devices: ['leaf1', 'leaf2', 'leaf3', 'leaf4', 'p1', 'p2', 'p3', 'p4', 'pe1', 'pe2']","leaf1, leaf2, leaf3, leaf4, p1, p2, p3, p4, pe1, pe2"
SSH_MISSING_COUNT,ssh_missing_count,L2,number,0,0,AGREE,,SSH missing count: 0 (total 10 - enabled 10),"leaf1, leaf2, leaf3, leaf4, p1, p2, p3, p4, pe1, pe2"
SSH_MISSING_DEVICES,ssh_missing_devices,L2,set,[],[],AGREE,,SSH missing devices: [],"leaf1, leaf2, leaf3, leaf4, p1, p2, p3, p4, pe1, pe2"
ALL_DEVICES_SAME_AS,all_devices_same_as,L3,text,"""leaf1: AS None, leaf2: AS None, leaf3: AS None, leaf4: AS None, p1: AS None, p2: AS None, p3: AS None, p4: AS None, pe1: AS 65000, pe2: AS 65000""","pe1: AS 65000, pe2: AS 65000",DISAGREE,DATA_ERROR,"Manual: BGP AS numbers found: {'65000'} | [Method1-crossref] all_devices_same_as({'type': 'GLOBAL'}) = pe1: AS 65000, pe2: AS 65000","leaf1, leaf2, leaf3, leaf4, p1, p2, p3, p4, pe1, pe2"
BGP_AS_DISTRIBUTION,bgp_as_distribution,L3,text,"""AS 65000: 2 devices""",AS 65000: 2 devices,AGREE,,"Manual: BGP AS distribution: {'65000': ['pe1', 'pe2']} | [Method1-crossref] bgp_as_distribution({'type': 'GLOBAL'}) = AS 65000: 2 devices","leaf1, leaf2, leaf3, leaf4, p1, p2, p3, p4, pe1, pe2"
COMPARE_BGP_AS_leaf2_pe1,compare_bgp_as,L3,text,"""leaf2: AS None, pe1: AS 65000""","leaf2: AS None, pe1: AS 65000",AGREE,,"Manual: BGP AS leaf2=0, pe1=65000 | [Method1-crossref] compare_bgp_as({'type': 'DEVICE_PAIR', 'host1': 'leaf2', 'host2': 'pe1'}) = leaf2: AS None, pe1: AS 65000","leaf2, pe1"
COMPARE_BGP_NEIGHBOR_COUNT_leaf2_p2,compare_bgp_neighbor_count,L3,map_str_int,"{""difference"": 0, ""host1_count"": 0, ""host2_count"": 0}","{""difference"": 0, ""host1_count"": 0, ""host2_count"": 0}",AGREE,,"BGP neighbors: leaf2=0, p2=0, diff=0","leaf2, p2"
COMPARE_INTERFACE_COUNT_leaf3_pe1,compare_interface_count,L3,map_str_int,"{""difference"": 1, ""host1_count"": 4, ""host2_count"": 5}","{""difference"": 1, ""host1_count"": 4, ""host2_count"": 5}",AGREE,,"Interfaces: leaf3=4, pe1=5, diff=1","leaf3, pe1"
COMPARE_OSPF_AREAS_p2_pe1,compare_ospf_areas,L3,text,"""p2: Area 0, pe1: Area 0""","p2: Area 0, pe1: Area 0",AGREE,,"Manual: OSPF areas p2=['0'], pe1=['0'] | [Method1-crossref] compare_ospf_areas({'type': 'DEVICE_PAIR', 'host1': 'p2', 'host2': 'pe1'}) = p2: Area 0, pe1: Area 0","p2, pe1"
COMPARE_VRF_COUNT_leaf2_leaf4,compare_vrf_count,L3,map_str_int,"{""difference"": 0, ""host1_count"": 0, ""host2_count"": 0}","{""difference"": 0, ""host1_count"": 0, ""host2_count"": 0}",AGREE,,"VRFs: leaf2=0, leaf4=0, diff=0","leaf2, leaf4"
IBGP_MISSING_PAIRS_65000,ibgp_missing_pairs,L3,set,[],[],AGREE,,"AS 65000 devices: ['pe1', 'pe2'], missing pairs: [], under-peered: []","pe1, pe2"
IBGP_MISSING_PAIRS_COUNT_65000,ibgp_missing_pairs_count,L3,number,0,0,AGREE,,"AS 65000 devices: ['pe1', 'pe2'], missing pairs: [], under-peered: []","pe1, pe2"
IBGP_UNDER_PEERED_COUNT_65000,ibgp_under_peered_count,L3,number,0,0,AGREE,,"AS 65000 devices: ['pe1', 'pe2'], missing pairs: [], under-peered: []","pe1, pe2"
IBGP_UNDER_PEERED_DEVICES_65000,ibgp_under_peered_devices,L3,set,[],[],AGREE,,"AS 65000 devices: ['pe1', 'pe2'], missing pairs: [], under-peered: []","pe1, pe2"
L2VPN_MISMATCH_COUNT,l2vpn_mismatch_count,L3,number,0,0,AGREE,,[Method1-crossref] l2vpn_mismatch_count({'type': 'GLOBAL'}) = 0,"leaf1, leaf2, leaf3, leaf4, p1, p2, p3, p4, pe1, pe2"
L2VPN_PWID_MISMATCH_PAIRS,l2vpn_pwid_mismatch_pairs,L3,set,[],[],AGREE,,[Method1-crossref] l2vpn_pwid_mismatch_pairs({'type': 'GLOBAL'}) = [],"leaf1, leaf2, leaf3, leaf4, p1, p2, p3, p4, pe1, pe2"
L2VPN_UNIDIRECTIONAL_PAIRS,l2vpn_unidirectional_pairs,L3,set,[],[],AGREE,,[Method1-crossref] l2vpn_unidirectional_pairs({'type': 'GLOBAL'}) = [],"leaf1, leaf2, leaf3, leaf4, p1, p2, p3, p4, pe1, pe2"
L2VPN_UNIDIR_COUNT,l2vpn_unidir_count,L3,number,0,0,AGREE,,[Method1-crossref] l2vpn_unidir_count({'type': 'GLOBAL'}) = 0,"leaf1, leaf2, leaf3, leaf4, p1, p2, p3, p4, pe1, pe2"
MAX_BGP_PEER_DEVICE,max_bgp_peer_device,L3,text,"""pe1: 1""",pe1: 1,AGREE,,"Manual count: {'leaf1': 0, 'leaf2': 0, 'leaf3': 0, 'leaf4': 0, 'p1': 0, 'p2': 0, 'p3': 0, 'p4': 0, 'pe1': 1, 'pe2': 1} | [Method1-crossref] max_bgp_peer_device({'type': 'GLOBAL'}) = pe1: 1","leaf1, leaf2, leaf3, leaf4, p1, p2, p3, p4, pe1, pe2"
MAX_INTERFACE_DEVICE,max_interface_device,L3,text,"""p1: 5""",p1: 5,AGREE,,"Manual count: {'leaf1': 4, 'leaf2': 4, 'leaf3': 4, 'leaf4': 4, 'p1': 5, 'p2': 5, 'p3': 5, 'p4': 5, 'pe1': 5, 'pe2': 5} | [Method1-crossref] max_interface_device({'type': 'GLOBAL'}) = p1: 5","leaf1, leaf2, leaf3, leaf4, p1, p2, p3, p4, pe1, pe2"
MIN_INTERFACE_DEVICE,min_interface_device,L3,text,"""leaf1: 4""",leaf1: 4,AGREE,,"Manual count: {'leaf1': 4, 'leaf2': 4, 'leaf3': 4, 'leaf4': 4, 'p1': 5, 'p2': 5, 'p3': 5, 'p4': 5, 'pe1': 5, 'pe2': 5} | [Method1-crossref] min_interface_device({'type': 'GLOBAL'}) = leaf1: 4","leaf1, leaf2, leaf3, leaf4, p1, p2, p3, p4, pe1, pe2"
VRF_RT_LIST_PER_DEVICE_leaf3,vrf_rt_list_per_device,L3,set,[],[],AGREE,,All RTs for leaf3: [],leaf3
VRF_RT_LIST_PER_DEVICE_pe1,vrf_rt_list_per_device,L3,set,"[""65000:1"", ""65000:2"", ""65000:3""]","[""65000:1"", ""65000:2"", ""65000:3""]",AGREE,,"All RTs for pe1: ['65000:1', '65000:2', '65000:3']",pe1
VRF_USAGE_STATISTICS,vrf_usage_statistics,L3,text,"""leaf1: 0개, leaf2: 0개, leaf3: 0개, leaf4: 0개, p1: 0개, p2: 0개, p3: 0개, p4: 0개, pe1: 3개, pe2: 3개""","leaf1: 0개, leaf2: 0개, leaf3: 0개, leaf4: 0개, p1: 0개, p2: 0개, p3: 0개, p4: 0개, pe1: 3개, pe2: 3개",AGREE,,"[Method1-crossref] vrf_usage_statistics({'type': 'GLOBAL'}) = leaf1: 0개, leaf2: 0개, leaf3: 0개, leaf4: 0개, p1: 0개, p2: 0개, p3: 0개, p4: 0개, pe1: 3개, pe2: 3개","leaf1, leaf2, leaf3, leaf4, p1, p2, p3, p4, pe1, pe2"
VRF_WITHOUT_RT_COUNT,vrf_without_rt_count,L3,number,0,0,AGREE,,VRFs without RT: [],"leaf1, leaf2, leaf3, leaf4, p1, p2, p3, p4, pe1, pe2"
VRF_WITHOUT_RT_PAIRS,vrf_without_rt_pairs,L3,set,[],[],AGREE,,VRFs without RT: [],"leaf1, leaf2, leaf3, leaf4, p1, p2, p3, p4, pe1, pe2"
